Date,SF_absolute_humidity,SF_relative_humidity,SF_mean_air_temperature,SF_atmospheric_pressure,SF_potential_evaporation,SF_net_radiation,SF_volumetric_water_content,SF_soil_temperature,SF_wind_speed,catchment_daily_precipitation_armley,catchment_daily_precipitation_kildwick,discharge_armley,discharge_kildwick,river_level_snaygill,river_level_kildwick,river_level_kirkstall,headingley_precipitation,malham_precipitation,skipton_snaygill_precipitation,farnley_hall_precipitation,embsay_precipitation,silsden_precipitation,lower_laithe_precipitation
14/11/2017,8.3,86.2,10.4,1013.1,0.4,0.8,32.4,6.9,2.9,2.309285968,3.413742054,7.43,3.69,0.417,0.366,1.514,1.4,9.6,0.8,0.8,6.6,1.2,1
15/11/2017,7.6,87,8.8,1016.3,0.4,1.1,31.3,8.1,1.6,1.518701876,2.413454738,9.66,4.56,0.695,0.496,1.545,0,3.8,0.8,0,2.2,1.2,1.4
16/11/2017,6.4,78.8,7.7,1014.7,0.6,-2.7,31.8,7.1,3.2,1.579436573,1.811364962,10.3,5.45,0.715,0.497,1.544,0.4,1.6,2.4,0.2,1.6,1,2
17/11/2017,5.4,77.3,5.6,1019.7,0.6,-2.3,32.5,4.9,2.9,0.330846047,0.467808808,9.69,4.19,0.631,0.476,1.562,0,0.8,0.4,0,0.2,0.4,0.2
18/11/2017,5.6,74,6.5,1013.1,0.7,-2.3,30.4,5.2,3.4,0.038513284,0.008439891,8.37,3.55,0.534,0.43,1.536,0,0,0,0,0,0,0.2
19/11/2017,4.6,71.4,4,1015.2,0.7,-0.8,27.8,3.7,2.2,7.020941617,8.772471918,7.89,3.18,0.461,0.4,1.529,5,11.2,4.2,3.4,6.4,3.6,6.8
20/11/2017,8.4,91.6,9.6,1003.7,0.2,0.3,33.5,6.3,3,14.8964305,18.7188925,17.7,10.9,1.086,0.586,1.57,8.2,39.2,14.6,4.2,12.2,13.2,11.2
21/11/2017,9.7,90.5,12.1,997.2,0.3,0.8,33.8,8.8,3.9,6.690628574,7.936671181,45.3,28.1,2.719,1.208,1.785,2.6,10.6,4,2.8,3.2,2.4,8.8
22/11/2017,9.5,79,14,981.4,1.2,-0.7,36.7,10.1,6.9,12.89298909,19.76574789,49.3,34.8,2.827,1.233,1.82,1.8,25.2,16.4,1.8,12,6.8,11.4
23/11/2017,6.1,78.2,6.9,985.2,1.1,-1.9,36,8,5,3.477755679,4.410215413,57.4,33.4,3.666,1.854,1.925,1.4,5.2,3.2,3,4.6,3,3.6
24/11/2017,5.1,85.4,3,1002,0.7,-1.1,36.3,4.4,2.1,3.399954329,2.241955447,35,17.3,2.244,1.109,1.823,4,0.4,1.2,4.2,1.6,1.8,7.2
25/11/2017,4.9,83.1,2.8,1006.2,0.8,-0.3,35.6,3.1,3.8,1.241037014,1.016424906,23.8,11.6,1.501,0.824,1.724,0.4,2,0.8,0.2,0.4,1,1.8
